język,kasa,rok,,en,others,
da,"181 625,00",2013,,"176 706,25","228337,5",2013
da,"580 225,00",2014,,"1 997 613,75",2065945,2014
da,"864 385,00",2015,,"1 454 070,00",5497591,2015
da,"3 101,25",2016,,"2 311 971,57","4634883,5",2016
da,"1 997,50",2017,,"7 851 906,95","4635049,75",2017
,,,,,,
de,"725,00",2013,,,,
de,"182 687,50",2014,,,,
de,"380 942,50",2015,,,,
de,"4 116,50",2016,,,,
de,"7 485,00",2017,,,,
,,,,,,
es,"1 562,50",2013,,,,
es,"160 212,50",2014,,,,
es,"122 810,00",2015,,,,
es,"1 850,00",2016,,,,
es,"6 032,50",2017,,,,
,,,,,,
fi,"121 937,50",2014,,,,
fi,"342 852,50",2015,,,,
fi,"2 612,50",2016,,,,
fi,"4 315,00",2017,,,,
,,,,,,
it,"7 312,50",2013,,,,
it,"99 462,50",2014,,,,
it,"206 691,25",2015,,,,
it,"2 827,50",2016,,,,
it,"5 780,00",2017,,,,
,,,,,,
nb,"2 050,00",2013,,,,
nb,"23 700,00",2014,,,,
nb,"531 488,75",2015,,,,
nb,"990,00",2016,,,,
nb,"572,50",2017,,,,
,,,,,,
pl,"14 875,00",2013,,,,
pl,"171 895,00",2014,,,,
pl,"82 252,50",2015,,,,
pl,"34 293,75",2016,,,,
pl,"612 406,50",2017,,,,
,,,,,,
pt,"496 850,00",2014,,,,
pt,"193 152,50",2015,,,,
pt,"2 407,50",2016,,,,
pt,"5 085,00",2017,,,,
,,,,,,
sv,"20 187,50",2013,,,,
sv,"228 975,00",2014,,,,
sv,"544 710,50",2015,,,,
sv,"1 677,50",2016,,,,
sv,"3 267,50",2017,,,,
